,aspl,diameter,hosts,number of nodes,switches
180,0.0,0,[1024],1,[0]
181,0.0,0,[1024],1,[0]
182,0.0,0,[1024],1,[0]
183,0.0,0,[1024],1,[0]
184,3.45535714286,4,"[1024, 1153, 1058, 1739, 1262, 1167, 1268, 1979, 1052, 1026, 1507, 1740, 1071, 1237, 1820, 1341, 1185, 1187, 1348, 1773, 1430, 1629, 1470, 2017, 1701, 1296, 1590, 1591, 2032, 1631, 1961, 1228, 1389, 1391, 1362, 1561, 1402, 1249, 1738, 1325, 1038, 1363, 1946, 1211, 1256, 1967, 1490, 1395, 1397, 1302, 1983, 1760, 1830, 1831, 1871, 1264, 1745, 1941, 1735, 1320, 1751, 1274, 1179, 1181]",64,"[0, 129, 34, 715, 238, 143, 244, 955, 28, 2, 483, 716, 47, 213, 796, 317, 161, 163, 324, 749, 406, 605, 446, 993, 677, 272, 566, 567, 1008, 607, 937, 204, 365, 367, 338, 537, 378, 225, 714, 301, 14, 339, 922, 187, 232, 943, 466, 371, 373, 278, 959, 736, 806, 807, 847, 240, 721, 917, 711, 296, 727, 250, 155, 157]"
185,3.21572580645,4,"[1086, 1186, 1897, 1226, 1360, 1785, 1213, 1215, 1152, 1315, 1476, 1901, 1620, 1917, 1566, 1621, 1925, 1192, 1353, 1092, 1803, 1388, 1394, 1805, 1966, 1486, 1823, 1025, 1129, 1055, 1411, 1994]",32,"[62, 162, 873, 202, 336, 761, 189, 191, 128, 291, 452, 877, 596, 893, 542, 597, 901, 168, 329, 68, 779, 364, 370, 781, 942, 462, 799, 1, 105, 31, 387, 970]"
186,3.45535714286,4,"[1024, 1153, 1058, 1739, 1262, 1167, 1268, 1979, 1052, 1026, 1507, 1740, 1071, 1237, 1820, 1341, 1185, 1187, 1348, 1773, 1430, 1629, 1470, 2017, 1701, 1296, 1590, 1591, 2032, 1631, 1961, 1228, 1389, 1391, 1362, 1561, 1402, 1249, 1738, 1325, 1038, 1363, 1946, 1211, 1256, 1967, 1490, 1395, 1397, 1302, 1983, 1760, 1830, 1831, 1871, 1264, 1745, 1941, 1735, 1320, 1751, 1274, 1179, 1181]",64,"[0, 129, 34, 715, 238, 143, 244, 955, 28, 2, 483, 716, 47, 213, 796, 317, 161, 163, 324, 749, 406, 605, 446, 993, 677, 272, 566, 567, 1008, 607, 937, 204, 365, 367, 338, 537, 378, 225, 714, 301, 14, 339, 922, 187, 232, 943, 466, 371, 373, 278, 959, 736, 806, 807, 847, 240, 721, 917, 711, 296, 727, 250, 155, 157]"
187,3.21572580645,4,"[1086, 1186, 1897, 1226, 1360, 1785, 1213, 1215, 1152, 1315, 1476, 1901, 1620, 1917, 1566, 1621, 1925, 1192, 1353, 1092, 1803, 1388, 1394, 1805, 1966, 1486, 1823, 1025, 1129, 1055, 1411, 1994]",32,"[62, 162, 873, 202, 336, 761, 189, 191, 128, 291, 452, 877, 596, 893, 542, 597, 901, 168, 329, 68, 779, 364, 370, 781, 942, 462, 799, 1, 105, 31, 387, 970]"
188,3.45535714286,4,"[1024, 1153, 1058, 1739, 1262, 1167, 1268, 1979, 1052, 1026, 1507, 1740, 1071, 1237, 1820, 1341, 1185, 1187, 1348, 1773, 1430, 1629, 1470, 2017, 1701, 1296, 1590, 1591, 2032, 1631, 1961, 1228, 1389, 1391, 1362, 1561, 1402, 1249, 1738, 1325, 1038, 1363, 1946, 1211, 1256, 1967, 1490, 1395, 1397, 1302, 1983, 1760, 1830, 1831, 1871, 1264, 1745, 1941, 1735, 1320, 1751, 1274, 1179, 1181]",64,"[0, 129, 34, 715, 238, 143, 244, 955, 28, 2, 483, 716, 47, 213, 796, 317, 161, 163, 324, 749, 406, 605, 446, 993, 677, 272, 566, 567, 1008, 607, 937, 204, 365, 367, 338, 537, 378, 225, 714, 301, 14, 339, 922, 187, 232, 943, 466, 371, 373, 278, 959, 736, 806, 807, 847, 240, 721, 917, 711, 296, 727, 250, 155, 157]"
189,3.45766129032,6,"[1504, 1236, 1270, 1365, 1707, 1386, 1135, 1121, 1230, 1947, 1532, 1224, 1458, 1951, 1410, 1969, 1399, 1048, 1281, 1193, 1936, 1238, 1207, 1985, 1669, 1558, 1559, 1573, 1352, 1513, 1515, 1164]",32,"[480, 212, 246, 341, 683, 362, 111, 97, 206, 923, 508, 200, 434, 927, 386, 945, 375, 24, 257, 169, 912, 214, 183, 961, 645, 534, 535, 549, 328, 489, 491, 140]"
190,0.0,0,[1024],1,[0]
191,2.98991935484,4,"[1024, 1153, 1058, 1739, 1262, 1167, 1268, 1979, 1052, 1026, 1507, 1740, 1071, 1237, 1820, 1341, 1185, 1187, 1348, 1773, 1430, 1629, 1470, 2017, 1701, 1296, 1590, 1591, 2032, 1631, 1961, 1228]",32,"[0, 129, 34, 715, 238, 143, 244, 955, 28, 2, 483, 716, 47, 213, 796, 317, 161, 163, 324, 749, 406, 605, 446, 993, 677, 272, 566, 567, 1008, 607, 937, 204]"
